name,price,status,shipping,free_returns,items_sold
Vintage Realistic LAB-395 Direct Drive Automatic Turntable Gray 33/45 RPM RCA,$199.99,Pre-Owned,9.95,True,
Audio-Technica LP120XUSB-WB Direct-Drive Turntable (Analog & USB) White / Bronze,$479.00,Brand New,0,False,
Victor Cosmopolitan 8-in-1 Turntable Music Center w/ 3-Speed Turntable & Radio,$209.99,Brand New,0,False,
360° Rotating Display Stand Electric Motorized Jewelry Photography Turntable,$14.98,Brand New,0,True,125
"HEADSHELL CARTRIDGE ADAPTER FOR DUAL 269-611, 505, 505-1, 506-1, 508, 528, 607",$17.99,Brand New,0,True,
1 by ONE High Fidelity Belt Drive Turntable With Built-In Speakers Vinyl Player,$147.89,Brand New,16.37,True,
Crosley Mercury Turntable with Bluetooth In/Out - Cream Croc,$49.95,Open Box,0,False,
Vinyl Record Player 9-in-1 Bluetooth Turntable CD Cassette Player FM/AM Radio,$176.57,Brand New,0,True,
U-Turn Audio Orbit Plus Turntable (Gen 2) with Built-in Preamp - Oak,$539.00,Open Box,0,False,
Numark Pro TT-1 Professional Direct Drive Turntable - DJ Vinyl Record Player,$350.00,Pre-Owned,,False,
Yamaha YP-400 Belt Drive Record Player Already Maintained 100V 50/60Hz Excellent,$289.00,Pre-Owned,50.0,True,21
TechPlay ODC128BT Wood Stereo Record Player Turntable Bluetooth CD Cassette,$109.95,Brand New,19.9524,False,284
"Mirrored Turntable Stylus Alignment Protractor – Eliminate Tracking Errors, Redu",$14.95,Brand New,0,False,65
Diamond Needle Stylus Audio Technica AT-LP60 AT-PL50 AT-LP2USB ATLP60 USB AT3600,$15.79,Brand New,0,False,81
Turntable Belt Drive Vinyl Record Player with Bluetooth Connectivity Built in,$113.99,Brand New,2.99,False,
Numark TTUSB Record Player Turntable US,$72.48,Pre-Owned,30.96,False,
"USA Made: Best Audio TK-14 Cart Dual Turntables, Gold Plated Spring! Champagne",$25.00,Brand New,7.7,True,217
Stranger Things WSQK Record Player,$88.50,Open Box,0,True,
