name,price,status,shipping,free_returns,items_sold
Logitech M330 SILENT Wireless Optical Mouse with USB Nano Receiver - Black,$12.92,Open Box,0,True,537
Razer DeathAdder Essential Black Edition Wired Gaming Mouse 6400 DPI USB (USA)..,$12.10,Brand New,0,False,30
"Wireless Keyboard & Air Mouse Combo, 2.4GHz RF, Laser, PowerPoint Clicker",$39.99,Brand New,0,False,
Porsche 550 Spyder Mouse Pad,$23.99,Brand New,0,False,
USB 2.0 Optical Wired Scroll Wheel Mouse  PC Laptop Notebook Desktop Black Mice,$4.98,Brand New,0,True,55
"Wired USB-C 6-Button Quiet Mouse, 4-DPI Speeds, Ergonomic LED Backlight - Mac/PC",$13.99,Brand New,0,True,135
"Acer Ergonomic Mouse Wireless, Adjustable DPI Vertical Mouse 1000/1200/1600",$15.99,Brand New,0,False,51
"Acer Office Vertical Computer Mice, Right Hand Ergo Mice, 8 Buttons 2.4GHz USB",$11.90,Brand New,0,False,
Wireless Mouse Gaming Rechargeable Optical Mouse Cordless 7 Color LED Backlit PC,$15.39,Brand New,0,True,502
Anker 2.4G Wireless Vertical Ergonomic Optical Mouse 5 Buttons 800/1200/1600 DPI,$19.89,Certified - Refurbished,0,True,1588
"Logitech M100 Corded Mouse – Wired USB Mouse (NEW, SEALED, SHIPS FREE)",$7.50,Brand New,0,False,47
HP Wired USB Optical Mouse 672652-001,$8.59,Brand New,0,False,
Vertical Mouse Ergonomic 2.4GHz Wireless Optical Mice 3 Adjustable DPI 800/1200/,$8.65,Brand New,0,False,
Logitech M100 USB Wired Corded Optical Mouse Right or Left Hand Use MAC PC Black,$6.99,Excellent - Refurbished,0,True,161
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot,$4.39,Brand New,0,False,
New Mini Retractable USB Optical Scroll Wheel PC Laptop Notebook Mouse Mice Us,$6.47,Brand New,0,True,4209
2 Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI USA,$11.88,Brand New,0,True,40
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot,$5.89,Brand New,0,True,39
2 Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI USA,$8.89,Brand New,0,True,29
"Vertical Mouse Ergonomic 2.4GHz Wireless, 3 Adjustable DPI 800/1200/1600",$15.99,Brand New,0,True,85
Logitech Lift Vertical Ergonomic Mouse Wireless Bluetooth Logi Bolt USB Graphite,$45.55,Open Box,0,True,
New USB Wireless PC Laptop Finger HandHeld Trackball Mouse Mice w/ Laser Pointer,$21.42,Brand New,0,True,3873
"Logitech Wireless Mini Mouse M187, Pocket Sized Ultra Portable Mouse for Laptops",$14.99,Brand New,0,True,
Wireless Mouse Gaming Rechargeable Optical Mouse Cordless 7 Color LED Backlit PC,$15.39,Brand New,0,True,44
3 Button PS2 Desktop Optical Scroll Mouse,$7.95,Brand New,0,False,198
USB Wired Optical Mouse Mice for Computer Red,$5.99,Brand New,0,True,1468
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot*,$4.35,Brand New,0,False,15
Wireless Mouse 2.4G Optical Cordless Mice Optical Scroll for PC Laptop Computer,$4.19,Brand New,0,True,285
Razer DeathAdder Essential Wired Gaming Mouse White,$17.99,Brand New,0,False,
Logitech - M196 Lightweight Bluetooth Wireless Optical Mouse Compact 3-Button...,See price,Brand New,0,False,377
Logitech Lift Vertical Ergonomic Optical Mouse Wireless Bluetooth Rose,$42.89,Open Box,0,True,24
USB 2.0 Optical Wired Scroll Wheel Mouse  PC Laptop Notebook Desktop Black Mice*,$4.17,Brand New,0,False,58
"JLab JBuds Wireless Mouse For PC, Laptop, Computer, Mice, 2.4G, Bluetooth, Black",$29.99,Brand New,0,True,72
5500 DPI Gaming Mouse 7 Button USB Wired LED Breathing Fire Button Laptop PC,$8.25,Brand New,0,True,4405
2.4GHz Wireless Optical Mouse Computer Mice 6 Buttons & USB Receiver for Laptop,$11.99,Brand New,0,True,
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot,$12.99,Brand New,0,False,
"Razer Naga V2 Pro Mouse Replacement Side Button Panels 12 Keys, 6 Keys, 2 Keys",$22.49,Pre-Owned,0,True,
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI lot,$291.19,Brand New,0,True,
2.4GHz Wireless Optical Mouse USB Rechargeable RGB Cordless Mice For PC Laptop,$5.89,Brand New,0,False,45
Microsoft Surface Arc Touch Mouse Platinum - Wireless - Bluetooth Connectivity -,$68.99,Brand New,0,True,263
Logitech G PRO X2 Superstrike Wireless Gaming Mouse - Brand New Sealed,$244.99,Brand New,0,False,
Logitech MX Master 3S For Mac Performance Wireless Mouse - Pale Grey,$57.00,Excellent - Refurbished,0,True,249
Wireless Optical Mouse Mice 2.4GHz USB Receiver For Laptop PC Computer DPI USA,$8.49,Brand New,0,True,
Wireless Optical Mouse Ergonomic USB Receiver 2.4GHz for Laptop PC Computer Mac,$9.99,Brand New,0,True,
Lenovo Bluetooth 5.0 Wireless Mouse Dual Mode Silent 1600 DPI Optical Ergonomic,$16.99,Brand New,0,False,18
Logitech M325 Wireless Optical Compact Mouse w/ Unifying Receiver,$11.99,Open Box,0,True,369
2.4GHz Wireless Optical Mouse USB Rechargeable RGB Cordless Mice For PC Laptop,$7.44,Brand New,0,True,
